Title, Platform, Date 
RollerCoaster Tycoon 4 Mobile, iOS, 2014-04-9 
The Wolf Among Us: Episode 3 - A Crooked Mile, iOS, 2014-04-9 
Wind-up Knight 2, iOS, 2014-04-9 
Power Grounds, iOS, 2014-04-9 
Groundskeeper2, iOS, 2014-04-9 
Robots Love Ice Cream, iOS, 2014-04-9 
Spy Wars, iOS, 2014-04-9 
Fighting Fantasy: Starship Traveller, iOS, 2014-04-9 
Wonder Golf, iOS, 2014-04-9 
Bad Vamp, iOS, 2014-04-9 
Bomb Buds, iOS, 2014-04-9 
Laser Hell, iOS, 2014-04-9 
Transport Empire, iOS, 2014-04-9 
R.B.I. Baseball 14, iOS, 2014-04-8 
Blackmoor, iOS, 2014-04-8 
David., iOS, 2014-04-7 
GoatPunks, iOS, 2014-04-7 
Scoop, iOS, 2014-04-7 
MugogyJump, iOS, 2014-04-6 
Galactikitties, iOS, 2014-04-5 
Monster Die Die Die!, iOS, 2014-04-5 
Call of Cookie, iOS, 2014-04-4 
Colourfill, iOS, 2014-04-4 
Mortal Kayak, iOS, 2014-04-4 
FTL: Faster than Light, iOS, 2014-04-3 
Monument Valley, iOS, 2014-04-3 
Joe Dever's Lone Wolf - Act 2: Forest Hunt, iOS, 2014-04-3 
Warhammer 40,000: Storm of Vengeance, iOS, 2014-04-3 
15 Coins, iOS, 2014-04-3 
Lightbringers: Saviors of Raia, iOS, 2014-04-3 
Millie, iOS, 2014-04-3 
Paranormal Agency: The Ghosts of Wayne Mansion HD, iOS, 2014-04-3 
Fairway Solitaire Blast, iOS, 2014-04-2 
Mobfish Hunter, iOS, 2014-04-2 
Dead End (2014), iOS, 2014-04-2 
ZOMBIE STAMPEDE, iOS, 2014-04-2 
Word Explorer (2014), iOS, 2014-04-2 
Micronytes Director's Cut, iOS, 2014-04-2 
Sago Mini Monsters, iOS, 2014-04-2 
UFHO2, iOS, 2014-04-1 
Evolution: Battle for Utopia, iOS, 2014-04-1 
Puzzle Breaker for iOS, iOS, 2014-04-1 
Polar Bowler, iOS, 2014-04-1 
Racer 8, iOS, 2014-03-31 
SpellBounders, iOS, 2014-03-31 
Skyline Skaters, iOS, 2014-03-31 
Make It Rain: The Love of Money, iOS, 2014-03-31 
Monkey Flight 2, iOS, 2014-03-31 
Pop Islands, iOS, 2014-03-31 
Red Remover Blast, iOS, 2014-03-30 
Web Defense, iOS, 2014-03-30 
Hectic Space, iOS, 2014-03-29 
Messy Time - Sky, iOS, 2014-03-29 
Nightmare Land - The Dream Witness, iOS, 2014-03-29 
Gon, iOS, 2014-03-29 
Cavesweeper, iOS, 2014-03-28 
Lightlands, iOS, 2014-03-28 
TITAN: Olympus War, iOS, 2014-03-28 
Endless Numbers, iOS, 2014-03-28 
FLASHOUT 2, iOS, 2014-03-27 
Captain America: The Winter Soldier - The Official Game, iOS, 2014-03-27 
Sometimes You Die, iOS, 2014-03-27 
Shattered Planet (RPG), iOS, 2014-03-27 
GooHoo, iOS, 2014-03-27 
Little Big Adventure, iOS, 2014-03-27 
Cabin Escape: Alice's Story, iOS, 2014-03-27 
Nerdy Workout, iOS, 2014-03-27 
Star Wars: Assault Team, iOS, 2014-03-27 
Word Monsters, iOS, 2014-03-27 
Pyro Pursuit, iOS, 2014-03-27 
Tiny Space Adventure, iOS, 2014-03-27 
Hoots, iOS, 2014-03-27 
Kotoro, iOS, 2014-03-27 
Alice - Behind the Mirror (full) - A Hidden Object Adventure, iOS, 2014-03-27 
Neon Commander, iOS, 2014-03-27 
Red Bull Racers, iOS, 2014-03-27 
Returno, iOS, 2014-03-27 
Tank of Tanks, iOS, 2014-03-27 
Hills of Glory 3D (2014), iOS, 2014-03-27 
Here Be Monsters HD, iOS, 2014-03-27 
Scuba Diver Adventures: Beyond The Depths, iOS, 2014-03-27 
Words & Cards, iOS, 2014-03-26 
Boom Beach, iOS, 2014-03-26 
Ravensburger Puzzle, iOS, 2014-03-26 
Game of Thrones Ascent, iOS, 2014-03-26 
Keyword VS., iOS, 2014-03-26 
Ace Fishing: Wild Catch, iOS, 2014-03-26 
The Quest (2014), iOS, 2014-03-26 
Duckie Deck Huff n' Puff, iOS, 2014-03-26 
New Words With Friends, iOS, 2014-03-26 
Quest of Dungeons, iOS, 2014-03-25 
Flappy Golf, iOS, 2014-03-25 
Chaos Fighters, iOS, 2014-03-25 
North Wind: Trill of Consciousness, iOS, 2014-03-25 
PixelMogul, iOS, 2014-03-25 
Barcode Kingdom, iOS, 2014-03-24 
Circix, iOS, 2014-03-24 
I'm Aquarius, iOS, 2014-03-24 
DJMax Technika Q, iOS, 2014-03-24 
Pot of Legend, iOS, 2014-03-24 
CLARC, iOS, 2014-03-24 
Shavalyn Pop: Alien Escape, iOS, 2014-03-24 
INFOCUS Extreme Bike, iOS, 2014-03-24 
Mount Olympus, iOS, 2014-03-22 
Depths - Submarine Exploration Game, iOS, 2014-03-21 
Box-Off, iOS, 2014-03-21 
